Set,k,QQ,x,t,ReH_mean,ReH_stddev,ReE_mean,ReE_stddev,ReHtilde_mean,ReHtilde_stddev,time
0,3.750000,1.740130,0.435095,-0.380868,13.661273,1.130132,-56.288103,5.830232,6.543922,0.657549,140.259
1,3.750000,2.036460,0.415563,-0.373495,11.439139,2.408896,-46.222875,12.745329,7.168314,1.189147,123.899
2,4.750000,2.179550,0.385579,-0.283318,6.272644,2.706269,-41.527736,15.550160,4.144829,0.933158,139.437
3,4.750000,2.073870,0.436939,-0.291599,9.047807,2.929207,-54.782902,14.718201,4.363330,1.073885,136.732
4,4.750000,2.036460,0.415563,-0.373495,11.564462,1.329091,-47.304914,6.808408,7.168337,0.579804,122.417
5,5.750000,2.179550,0.385579,-0.283318,6.929558,2.002892,-45.396249,11.392276,4.144159,0.621245,127.296
6,5.750000,2.632580,0.345012,-0.361188,10.087698,3.128787,-42.284959,17.791822,6.619636,1.484995,126.701
7,5.750000,2.073870,0.436939,-0.291599,9.168920,2.678501,-55.302516,13.451303,4.518734,1.818648,124.232
8,5.750000,2.036460,0.415563,-0.373495,11.630647,0.832174,-47.731160,4.277143,6.913630,0.863342,122.352
9,6.750000,1.950720,0.360829,-0.278690,8.194081,1.211281,-54.129251,7.487663,2.976018,0.516010,147.342
10,6.750000,2.179550,0.385579,-0.283318,6.707778,1.697491,-44.207142,9.628236,3.947390,0.849298,122.746
11,6.750000,2.632580,0.345012,-0.361188,10.534625,2.100421,-45.152002,11.778118,6.050431,0.987384,131.829
12,7.750000,1.950720,0.360829,-0.278690,8.058888,0.970062,-53.306338,6.023529,2.946375,0.516404,151.443
13,7.750000,2.179550,0.385579,-0.283318,6.797197,1.614687,-44.740856,9.141158,3.901850,0.979171,126.298
14,7.750000,2.632580,0.345012,-0.361188,10.389462,1.757623,-44.260633,9.783174,6.092258,1.047461,129.142
